D,r2
1207.6694926658593,0.056805161169333936
1276.6164639850329,0.057786431026184755
1348.3918537437828,0.05408842844532608
1419.748669505056,0.054456066237606
1488.7058585858586,0.052851395729222164
1558.4784012918853,0.05232619231779937
1630.1622677080527,0.052770529304641045
1702.967221923697,0.052027179922781726
1776.6617784295427,0.04989964738933021
1847.2321088435374,0.050431647487417006
1919.3089745299374,0.0502749416692097
1992.6153536438062,0.048914811976579806
2065.9036887994635,0.04933478686777195
2139.520687802257,0.048407976252290694
2214.4333558406483,0.048043046645385216
2291.252875100294,0.047805123634180144
2370.0057873485866,0.045720543049207606
2446.365102836403,0.04684483753278786
2525.4252766297827,0.04586452225087788
2603.8774986493786,0.045099654270590483
2682.935319377348,0.0448496919484464
2764.189717498996,0.04510071206802735
2843.662886458755,0.04506386990055114
2920.2623038042034,0.043261816557488016
2997.697295036252,0.04408324887158945
3074.327975183305,0.04306540802526649
3153.5186162823006,0.04285558731131667
3233.7420024927296,0.04274916436193127
3313.1902037398827,0.042437866001447985
3392.620106263982,0.04221943312415311
3472.6208188757805,0.0416181776093608
3551.9444753687726,0.041973270856812905
3630.994572025052,0.04129231164392805
3709.94793986637,0.0408098382186258
3788.4970670391062,0.042586060260705876
3868.0396108408618,0.0393153363477871
3950.4402173913045,0.03994699057357607
4033.658833403273,0.040225224109003185
4115.666481301265,0.04037175992988452
4200.914325452017,0.04111065392117064
4286.394377957139,0.04122082492379058
4369.9249232486745,0.04020859043065305
4454.042460762332,0.04062477799530287
4538.56729036729,0.04159167473394756
4626.283607013637,0.041554065079277704
4711.712070410729,0.04082585037946867
4796.65061247216,0.04158399343696312
4883.132420091324,0.040486549409125654
4968.04516673702,0.039369554627122196
5055.746451701805,0.041489354412944365
5142.995906845448,0.0421319643429139
5226.674663708223,0.040685565261679775
5311.7209269858995,0.039961446966369336
5396.247405562474,0.04063562710094723
5480.694187026116,0.039966023900422726
5566.813313036258,0.040441888548856025
5654.259161209419,0.040596198903407765
5741.061950606949,0.042319907080403785
5827.79606090236,0.04023550340806889
5914.215159944367,0.041891880547049426
6001.580293501048,0.04035851809214001
6089.04059858667,0.041143680252366595
6177.689015890716,0.0415018465661908
6264.078983897834,0.04257421381530767
6351.26416144746,0.0409754440610732
6438.98425087108,0.03975225637533287
6525.734390209985,0.04132440905260682
6612.547103487064,0.04115429497784681
6701.405585660692,0.04098022677354241
6792.4795606229145,0.04198758628646773
6881.87552213868,0.03948926274567888
6969.594862487785,0.0408739357598702
7055.750699888018,0.04151765485980698
7142.472739820566,0.040336252861880084
7229.432289491997,0.04020853438884539
7315.884556254367,0.03958312416091391
7403.9925905214595,0.04018087617620253
7494.165049889135,0.04114421007083348
7584.3080495356035,0.04037944139298725
7674.988370483179,0.04214474573662725
7767.898494143893,0.04050326833602665
7858.3990277777775,0.040083035401758664
7949.186748672071,0.04022964120088655
8041.011415842962,0.04098468229918096
8133.533859576236,0.03987579932082829
8224.05,0.04215435004421642
8315.5035679306,0.04097605095674459
8408.080748812517,0.04164036333265132
8497.87414443358,0.040385892941447746
8587.343231562805,0.04140555450412843
8680.199196007763,0.04117842283013753
8772.554829742878,0.04076965329257467
8864.651101198773,0.04126975375540447
8956.460990928123,0.04139464565499654
9048.72359425143,0.0408473363184707
9140.114971396679,0.040012703930495414
9233.899458408554,0.04090256126326656
9327.059819569744,0.04126638756039301
9421.432176216367,0.041899580796833355
9515.471204920324,0.04027013819896474
9609.707700877316,0.04240227315072266
9703.932960111966,0.03959196693078044
9796.477263245724,0.04064178518915878
9891.28573403373,0.03954957962913511
9987.246488764045,0.04205530721070128
10082.244149009832,0.03968600262182399
10177.899398348958,0.039976104358864284
10270.123993335184,0.04024734804428933
10363.827927049979,0.04033671097515927
10461.479620323842,0.04155724089456671
10559.078281423805,0.04170300670288764
10654.666945024357,0.04037689765570044
10751.17094972067,0.04224825214678472
10849.162222222221,0.04072695599364016
10942.589721988206,0.04087021423972497
11033.571130579892,0.04149388071936516
11126.738293155999,0.04043531570426417
11221.394036505504,0.03971376464804959
11316.749338532238,0.041197862968080014
11412.019955344684,0.04026137798953655
11507.358577405857,0.040022742932389
11603.68559866034,0.04084055219568669
11701.405072062083,0.041344871945078215
11798.923076923076,0.04067124996955959
11893.582285554625,0.04144585305113525
11989.58164116829,0.040854811950079145
12087.94159365874,0.040553774291214956
12186.41961167761,0.04197873000507028
12283.488111888111,0.040398943795567854
12381.447448696617,0.04047779362786512
12478.405870020964,0.04123064603422036
12575.64548121246,0.04043585279996131
12674.422411387106,0.04051428493011509
12776.923087544877,0.041571217612056434
12878.274777282852,0.040767563910205924
12977.476170510134,0.040087788771185844
13076.34153502027,0.04138666411627617
13175.17749757517,0.04172428216771266
13275.925603593487,0.040910739947809235
13374.725951557093,0.04239455126825274
13474.647427854454,0.040734557961523234
13574.906058068118,0.04108411845829375
13673.889725358986,0.0409936100108808
13773.5111049417,0.04062625627894711
13870.164291701592,0.04063295410427343
13971.076826372399,0.03939964289360767
14072.806465038846,0.040330783540949926
14174.684615384615,0.04128065331845229
14277.607818586534,0.04159149399921571
14382.342777390091,0.04069079747905952
14489.898542678695,0.04051133585433433
14598.771512113617,0.040294941868367073
14706.212023992188,0.041290987563535816
14811.178651371012,0.04060010269031959
14914.337465181059,0.041739395716408154
15020.300249514832,0.04074774085917031
15125.443541608294,0.041643119486295475
15229.548270593137,0.04105954903028851
15330.554391844715,0.04002805432815486
15433.858919441758,0.040413553544991154
