,AG,BF,DM,KY,SW,UK
AG,nan,0.25,0.6363636363636364,0.5384615384615384,0.3157894736842105,0.21428571428571427
BF,0.25,nan,0.4444444444444444,0.36363636363636365,0.05263157894736842,0.3333333333333333
DM,0.6363636363636364,0.4444444444444444,nan,0.38461538461538464,0.2777777777777778,0.25
KY,0.5384615384615384,0.36363636363636365,0.38461538461538464,nan,0.13636363636363635,0.21428571428571427
SW,0.3157894736842105,0.05263157894736842,0.2777777777777778,0.13636363636363635,nan,0.047619047619047616
UK,0.21428571428571427,0.3333333333333333,0.25,0.21428571428571427,0.047619047619047616,nan
