D,r2
2820.975516866159,0.3486108991368291
2925.486229946524,0.3364708227552278
3031.5595447771307,0.3346883441374601
3138.9889740486756,0.33539884960149957
3246.51875,0.32142118281581944
3354.5053951982736,0.31913624941830976
3466.083962264151,0.3153790337721996
3578.303742737468,0.31073889627389983
3691.692328434677,0.31274965580033176
3804.4828049435787,0.3060304826710411
3921.106598299825,0.29655919371374667
4038.6174686615445,0.28863228449782447
4154.000675128274,0.2914858802363623
4268.689827983205,0.2862481538578964
4386.486196730099,0.2838215707035485
4504.433949442783,0.28070324019372983
4625.359624413146,0.2798123246393218
4746.8866756393,0.2744803598384693
4866.9339327067155,0.2669189758051763
4986.965304755526,0.268199965676159
5110.290598290599,0.2678941594244333
5236.136180499597,0.2618551042138335
5362.400243309003,0.26523133091657325
5486.258497917506,0.2629676130679519
5608.243878550441,0.2605264049389632
5728.386048466172,0.26055409357396436
5850.355499438832,0.2564834612719439
5972.382960893855,0.2573561544276824
6092.456826464816,0.2530026644547433
6217.126172804929,0.25651005643519764
6341.39758698092,0.25683077255490455
6467.261469808953,0.25653146317809805
6592.325741599888,0.2517524431309841
6717.392862141358,0.25251354008657617
6844.844662921349,0.2531459696885009
6971.891045189908,0.25124256902603986
7098.417086834734,0.25139123099710375
7225.396202531646,0.2446027930354849
7352.197139652271,0.24427809336459005
7480.707582739841,0.24150367183591506
7608.15784341042,0.23991539361959813
7734.542617214835,0.23851291782216213
7859.798868458274,0.23375572933718305
7986.322629969419,0.2298922857819125
8113.612578616352,0.23185201145753362
8240.215716486902,0.23415145417053568
8369.281311567689,0.23005928763502195
8498.258437935843,0.22954677034744547
8626.294941852319,0.23277468375950744
8755.70401572592,0.23379382346680053
8886.125261834939,0.22642406468633614
9016.208994708995,0.22611591428349115
9146.557514693535,0.2297399803542009
9278.491718135878,0.22973864290723636
9409.545683503567,0.2263424702759908
9542.157408702953,0.22244751383851555
9671.69680776262,0.2241705099874697
9800.861794298491,0.22527805503174517
