D,r2
199.53528489283846,0.3531877265355009
271.50427002846686,0.325073718861463
346.5308192457737,0.3101001900530397
423.44559868780755,0.2942993189933922
502.99818323384375,0.27872997032498226
585.2573599240266,0.2769646233297615
668.0839674626083,0.2694296157718546
751.8055852485302,0.24889565034085873
837.2338110403397,0.24609939488630017
923.6000536840693,0.2378969024475289
1011.0547724526782,0.23426785941100364
1100.9932673267326,0.22779636596842445
1192.285124517246,0.21746133396510375
1282.9920021327646,0.20866012463071934
1374.7865454059115,0.20789138819100073
1467.67819930537,0.19727676594348442
1559.814971564608,0.19103965919080843
1654.1792038343763,0.19476877828684963
1747.1999199252637,0.18545064333907413
1838.6237518306484,0.18496564012478026
1932.9073726541556,0.1828219798260646
2026.1232931194486,0.17942173349976093
2119.3195488721803,0.18099428946942903
2214.209843874041,0.17466610712474867
2307.467175572519,0.161497737886128
2399.234622877818,0.15908855379319112
2491.223938223938,0.16163197706365803
2585.82123674425,0.15262557530641602
2680.656479048541,0.1526450464187939
2774.3825197068177,0.15031281609158598
2869.3043055555554,0.1463047122160017
2965.227140683359,0.14175987147352542
3063.638904185022,0.136433759811114
3162.9110988404195,0.13658266279958442
3263.9836700802657,0.13371360225996493
3362.1223071577483,0.12848813009800686
3462.332138425479,0.1255607736924291
3563.7118362831857,0.12227006589976444
3667.8643502432246,0.12301671546345025
3770.138215859031,0.11872016911289555
3871.376833656241,0.11853085807336285
3973.5215946843855,0.11597437050981053
4072.996940194715,0.11645802149523118
4173.34181568088,0.11283793422368847
4275.166828322018,0.11243473700724102
4376.842679558011,0.11230292738174219
4481.91416781293,0.11029132694744961
4584.4105028555505,0.1065094503995721
4687.977046460177,0.10746784224386823
4792.918718195571,0.1040777485694352
4897.813966402888,0.10177645157208143
5003.727662517289,0.10189100918240605
5108.6149377593365,0.10257225584819055
5212.998486099642,0.10339329908899085
5317.6040912886165,0.10430652923100937
5424.336875517527,0.09868055994180311
5531.832781913427,0.10188824255608585
5637.033546770602,0.09551863283780562
5743.470483005367,0.0980445486198366
5848.389660922735,0.0927179682453218
5954.8028247022985,0.0953160953525091
6063.02571860817,0.09696536672761062
6170.537766031437,0.09732947470241089
6277.634700055036,0.09450151491987226
6386.2464330239645,0.09243329663423232
6494.974799224591,0.09038715396765722
6605.935068531081,0.0887290679339695
6715.133461750138,0.08583818757819348
6823.821334076034,0.08790562499971238
6934.199368825466,0.08834626229988504
7044.752320265965,0.08531841121003789
7154.005527915976,0.08377505197058224
7265.219749652295,0.08419388645899925
7375.995864350703,0.0829183064574297
7486.294207528824,0.08438731045336126
7595.04621503017,0.0812121134734424
7703.955781838471,0.0844582061317948
7812.329749103943,0.0828267614755144
7922.809313251347,0.08149144365571206
8031.977222222222,0.07941749213927018
8141.346955681348,0.07759685199716837
8253.00235163923,0.07864149270679248
8362.799447513813,0.07756428660743804
8472.214404432132,0.07704099989838825
8583.21927777015,0.07786913011271485
8695.69011748445,0.07571735255005213
8807.323705040966,0.07541511116090568
8917.800887409872,0.07369201222451933
